,ID,ENTRYTYPE,author,bib-gs_bronze_gquerya,bib-scopus_bronze_querya,bib_id,booktitle,doi,isbn,issn,journal,note,number,pages,publisher,shorttitle,title,url,volume,year,assessment,data-type-tabular,data-type-text,data-type-image,task-disease-classification,task-risk-treatment-prediction,task-sd-training-augmentation,task-sd-realism,task-bias-evaluation,task-ner,task-ablation,model-bert_x,model-gpt_x,model-rnn_x,model-gan_x,model-attention-other_x,model-other-nn_x,Unnamed: 0,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,Assessment ,Primary Task,Secondary Task,Tertiary,disease-classification,disease-prediction,nn-synthetic-data-task-augmentation,non-nn-synthetic-data-task-augmentation,nlg,synthetic-data-realism,ner/entity-classification/re,bias-evaluation,qa,risk/treatment-prediction,scalability/performance,security task classification,embedding harmonization,patient-trial matching,ablation-study,PET A,PET B,PET C,PET Notes,Unnamed: 43,Data Type,Training Data Sources,Model,model-bert_y,model-gpt_y,model-gan_y,model-attention-other_y,model-lstm,model-rnn_y,model-diffusion,model-autoencoder,model-other-nn_y,Evaluation,Evaluation Data,evaluation-auroc,evaluation-auprc,Earliness,evaluation-auc,evaluation-accuracy,evaluation-average-diagnosis-time,evalutation-kappa,evaluation-loss,evaluation-f1,evaluation-precision,evaluation-recall,evaluation-perplexity,evaluation-r2,rp80,evaluation-similairity-GT,evaluation-similairity-dimensionwisedist(dwd),evaluation-pairwise-correlation-diff,evlaution-log-cluster,evaluation-synthetic-rank,evaluation-similairity-jensen-shannon-divergence,evaluation-similairity-dimensionwisestat(dws),evaluation-similairity-dimensionwiseavg(dwa),evaluation-similairity-dimensionwisepred(dwp),evaluation-similairity-dimensionwiseprob(dwp),evaluation-similairity-corr,evaluation-privacy-kl-divergence,evaluation-privacy-minkowshi-distance,evaluation-privacy-budget,evaluation-privacy-cosine-similairity,evaluation-similairity-normalized-distance,evaluation-survival-rate,evaluation-clinician,evaluation-error-rate,evaluation-similairity-jaccard,evaluation-hamming-loss,evaluation-bleu,evaluation-g-squared,evaluation-rogue,evaluation-bm25,evaluation-embedding-similairity,evaluation-cider,Clinical Domain,privacy-evaluation,privacy-evaluation notes,Summary,Conclusion,Notes,REPO
0,abbasi_development_2023,article,"Abbasi, N. and Lacson, R. and Kapoor, N. and Licaros, A. and Guenette, J.P. and Burk, K.S. and Hammer, M. and Desai, S. and Eappen, S. and Saini, S. and Khorasani, R.",0.0,1.0,,,10.2214/AJR.23.29120,,,AJR. American journal of roentgenology,,3,377--385,,,Development and {External} {Validation} of an {Artificial} {Intelligence} {Model} for {Identifying} {Radiology} {Reports} {Containing} {Recommendations} for {Additional} {Imaging},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168784450&doi=10.2214%2fAJR.23.29120&partnerID=40&md5=cc05a8f9fd1fc9f5af6f02999c68ddd9,221,2023.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,abdollahi_ontology-guided_2020,inproceedings,"Abdollahi, Mahdi and Gao, Xiaoying and Mei, Yi and Ghosh, Shameek and Li, Jinyan",1.0,0.0,,,,,,,,,78--88,Springer,,Ontology-guided data augmentation for medical document classification,,,2020.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,abdollahi_substituting_2021,article,"Abdollahi, Mahdi and Gao, Xiaoying and Mei, Yi and Ghosh, Shameek and Li, Jinyan and Narag, Michael Abdollahi, M. and Gao, X. and Mei, Y. and Ghosh, S. and Li, J. and Narag, M.",1.0,1.0,,,nan 10.1016/j.artmed.2021.102167,,0933-3657 nan,Artificial Intelligence in Medicine,Publisher: Elsevier nan,,102167 nan,,,Substituting clinical features using synthetic medical phrases: {Medical} text data augmentation techniques,nan https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114830677&doi=10.1016%2fj.artmed.2021.102167&partnerID=40&md5=0911a4706c676b75d6773ec2c73d4297,120,2021.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,adib_bnclinical-sum_2024,article,"Adib, Quazi Adibur Rahman and Alam, Sanjana Binte",1.0,0.0,,,,,,,Publisher: Brac University,,,,,{BnClinical}-{Sum}: benchmarking datasets for {Bangla} long \& short clinical dialogue summarization,,,2024.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,afshar_deployment_2023,article,"Afshar, M. and Adelaine, S. and Resnik, F. and Mundt, M.P. and Long, J. and Leaf, M. and Ampian, T. and Wills, G.J. and Schnapp, B. and Chao, M. and Brown, R. and Joyce, C. and Sharma, B. and Dligach, D. and Burnside, E.S. and Mahoney, J. and Churpek, M.M. and Patterson, B.W. and Liao, F.",0.0,1.0,,,10.2196/44977,,,JMIR Medical Informatics,,,,,,Deployment of {Real}-time {Natural} {Language} {Processing} and {Deep} {Learning} {Clinical} {Decision} {Support} in the {Electronic} {Health} {Record}: {Pipeline} {Implementation} for an {Opioid} {Misuse} {Screener} in {Hospitalized} {Adults},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159827648&doi=10.2196%2f44977&partnerID=40&md5=b666bc4d6ed67c9e1de021e6e2378505,11,2023.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,agnikula_kshatriya_identification_2021,article,"Agnikula Kshatriya, B.S. and Sagheb, E. and Wi, C.-I. and Yoon, J. and Seol, H.Y. and Juhn, Y. and Sohn, S.",0.0,1.0,,,10.1186/s12911-021-01633-4,,,BMC Medical Informatics and Decision Making,,,,,,Identification of asthma control factor in clinical notes using a hybrid deep learning model,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118773666&doi=10.1186%2fs12911-021-01633-4&partnerID=40&md5=d7d526185eb854326d37fd7884af5a46,21,2021.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ahmed_privacy_2021,inproceedings,"Ahmed, T. and Aziz, M.M.A. and Mohammed, N. and Jiang, X.",0.0,1.0,,,10.1145/3459930.3469555,,,,,,,,,Privacy preserving neural networks for electronic health records de-identification,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112393530&doi=10.1145%2f3459930.3469555&partnerID=40&md5=c4a7ca1875db592d54daa873af967556,,2021.0,DP,0.0,1.0,0.0,,,,,,,,,,,,,,263.0,Ahmed T.; Aziz M.M.A.; Mohammed N.; Jiang X.,"Ahmed, Tanbir (59028533700); Aziz, Md Momin Al (57195218759); Mohammed, Noman (23025118200); Jiang, Xiaoqian (24479530900)",59028533700; 57195218759; 23025118200; 24479530900,Privacy preserving neural networks for electronic health records de-identification,2021.0,"Proceedings of the 12th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, BCB 2021",,,,,,,1.0,10.1145/3459930.3469555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112393530&doi=10.1145%2f3459930.3469555&partnerID=40&md5=c4a7ca1875db592d54daa873af967556,Conference paper,Final,,Scopus,2-s2.0-85112393530,DF,Clinical Text De-identification,,,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Differential Privacy,,DP,,,Unstructured Text,"i2b2,MIMIC-III,NursingNote","DNN with attention, Ensemble",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"P,R,F1",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,General,-,-,Competitive de-identification performance using DP-SGD,,no measure of privacy outcomes,
7,ahmed_text_2023,article,"Ahmed, Hadeer and Traore, Issa and Mamun, Mohammad and Saad, Sherif",1.0,0.0,,,,,2666-8270,Machine Learning with Applications,Publisher: Elsevier,,100452,,,Text augmentation using a graph-based approach and clonal selection algorithm,,11,2023.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ahsan_advancements_2024,article,"Ahsan, Mohammad and Khan, Anam and Khan, Kaif Rehman and Sinha, Bam Bahadur and Sharma, Anamika",1.0,0.0,,,,,0266-4720,Expert Systems,Publisher: Wiley Online Library,3,e13499,,,Advancements in medical diagnosis and treatment through machine learning: {A} review,,41,2024.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,al aziz_differentially_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,Al Aziz M.M.; Ahmed T.; Faequa T.; Jiang X.; Yao Y.; Mohammed N.,"Al Aziz, Md Momin (57195218759); Ahmed, Tanbir (59028533700); Faequa, Tasnia (56606274400); Jiang, Xiaoqian (24479530900); Yao, Yiyu (7403567566); Mohammed, Noman (23025118200)",57195218759; 59028533700; 56606274400; 24479530900; 7403567566; 23025118200,Differentially Private Medical Texts Generation Using Generative Neural Networks,2022.0,ACM Transactions on Computing for Healthcare,3,1.0,3469035.0,,,,5.0,10.1145/3469035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125710436&doi=10.1145%2f3469035&partnerID=40&md5=bf7a70d88b2b1576aa4ab9e37cad1358,Article,Final,,Scopus,2-s2.0-85125710436,SD | DF,Synthetic EHR Text Generation,Utility Analysis (ICD9 classifier),,1.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Synthetic Data,Differential Privacy,DP-SD,,,Unstructured Text,"i2b2, MIMIC-III",Attentioned-based NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Jaccard Similairity, BLEU, G2 | F1 ICD9 code classifiscation",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,General,-,-,,"The utility of such synthetic data is also compared with the original datasets and benchmarked against another technique [17] on three different settings. The experimental results demonstrate an almost indistinguishable performance between the original and synthetic data supporting the effectiveness of these generated free-texts. Unfortunately, we could not benchmark to some other solutions due to limited code or sensitive medical data access [9, 62].",,https://github.com/mominbuet/GenerateEHRs.git
