ID,ENTRYTYPE,author,bib-gs_bronze_gquerya,bib-scopus_bronze_querya,bib_id,booktitle,doi,isbn,issn,journal,note,number,pages,publisher,shorttitle,title,url,volume,year
abbasi_development_2023,article,"Abbasi, N. and Lacson, R. and Kapoor, N. and Licaros, A. and Guenette, J.P. and Burk, K.S. and Hammer, M. and Desai, S. and Eappen, S. and Saini, S. and Khorasani, R.",0,1,nan,nan,10.2214/AJR.23.29120,nan,nan,AJR. American journal of roentgenology,nan,3,377--385,nan,nan,Development and {External} {Validation} of an {Artificial} {Intelligence} {Model} for {Identifying} {Radiology} {Reports} {Containing} {Recommendations} for {Additional} {Imaging},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168784450&doi=10.2214%2fAJR.23.29120&partnerID=40&md5=cc05a8f9fd1fc9f5af6f02999c68ddd9,221,2023.0
abdollahi_ontology-guided_2020,inproceedings,"Abdollahi, Mahdi and Gao, Xiaoying and Mei, Yi and Ghosh, Shameek and Li, Jinyan",1,0,nan,nan,nan,nan,nan,nan,nan,nan,78--88,Springer,nan,Ontology-guided data augmentation for medical document classification,nan,nan,2020.0
abdollahi_substituting_2021,article,"Abdollahi, Mahdi and Gao, Xiaoying and Mei, Yi and Ghosh, Shameek and Li, Jinyan and Narag, Michael Abdollahi, M. and Gao, X. and Mei, Y. and Ghosh, S. and Li, J. and Narag, M.",1,1,nan,nan,nan 10.1016/j.artmed.2021.102167,nan,0933-3657 nan,Artificial Intelligence in Medicine,Publisher: Elsevier nan,nan,102167 nan,nan,nan,Substituting clinical features using synthetic medical phrases: {Medical} text data augmentation techniques,nan https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114830677&doi=10.1016%2fj.artmed.2021.102167&partnerID=40&md5=0911a4706c676b75d6773ec2c73d4297,120,2021.0
adib_bnclinical-sum_2024,article,"Adib, Quazi Adibur Rahman and Alam, Sanjana Binte",1,0,nan,nan,nan,nan,nan,nan,Publisher: Brac University,nan,nan,nan,nan,{BnClinical}-{Sum}: benchmarking datasets for {Bangla} long \& short clinical dialogue summarization,nan,nan,2024.0
afshar_deployment_2023,article,"Afshar, M. and Adelaine, S. and Resnik, F. and Mundt, M.P. and Long, J. and Leaf, M. and Ampian, T. and Wills, G.J. and Schnapp, B. and Chao, M. and Brown, R. and Joyce, C. and Sharma, B. and Dligach, D. and Burnside, E.S. and Mahoney, J. and Churpek, M.M. and Patterson, B.W. and Liao, F.",0,1,nan,nan,10.2196/44977,nan,nan,JMIR Medical Informatics,nan,nan,nan,nan,nan,Deployment of {Real}-time {Natural} {Language} {Processing} and {Deep} {Learning} {Clinical} {Decision} {Support} in the {Electronic} {Health} {Record}: {Pipeline} {Implementation} for an {Opioid} {Misuse} {Screener} in {Hospitalized} {Adults},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159827648&doi=10.2196%2f44977&partnerID=40&md5=b666bc4d6ed67c9e1de021e6e2378505,11,2023.0
agnikula_kshatriya_identification_2021,article,"Agnikula Kshatriya, B.S. and Sagheb, E. and Wi, C.-I. and Yoon, J. and Seol, H.Y. and Juhn, Y. and Sohn, S.",0,1,nan,nan,10.1186/s12911-021-01633-4,nan,nan,BMC Medical Informatics and Decision Making,nan,nan,nan,nan,nan,Identification of asthma control factor in clinical notes using a hybrid deep learning model,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118773666&doi=10.1186%2fs12911-021-01633-4&partnerID=40&md5=d7d526185eb854326d37fd7884af5a46,21,2021.0
ahmed_privacy_2021,inproceedings,"Ahmed, T. and Aziz, M.M.A. and Mohammed, N. and Jiang, X.",0,1,nan,nan,10.1145/3459930.3469555,nan,nan,nan,nan,nan,nan,nan,nan,Privacy preserving neural networks for electronic health records de-identification,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112393530&doi=10.1145%2f3459930.3469555&partnerID=40&md5=c4a7ca1875db592d54daa873af967556,nan,2021.0
ahmed_text_2023,article,"Ahmed, Hadeer and Traore, Issa and Mamun, Mohammad and Saad, Sherif",1,0,nan,nan,nan,nan,2666-8270,Machine Learning with Applications,Publisher: Elsevier,nan,100452,nan,nan,Text augmentation using a graph-based approach and clonal selection algorithm,nan,11,2023.0
ahsan_advancements_2024,article,"Ahsan, Mohammad and Khan, Anam and Khan, Kaif Rehman and Sinha, Bam Bahadur and Sharma, Anamika",1,0,nan,nan,nan,nan,0266-4720,Expert Systems,Publisher: Wiley Online Library,3,e13499,nan,nan,Advancements in medical diagnosis and treatment through machine learning: {A} review,nan,41,2024.0
al_aziz_differentially_2022,article,"Al Aziz, M.M. and Ahmed, T. and Faequa, T. and Jiang, X. and Yao, Y. and Mohammed, N.",0,1,nan,nan,10.1145/3469035,nan,nan,ACM Transactions on Computing for Healthcare,nan,1,nan,nan,nan,Differentially {Private} {Medical} {Texts} {Generation} {Using} {Generative} {Neural} {Networks},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125710436&doi=10.1145%2f3469035&partnerID=40&md5=bf7a70d88b2b1576aa4ab9e37cad1358,3,2022.0
alam_fedsepsis_2023,article,"Alam, M.U. and Rahmani, R.",0,1,nan,nan,10.3390/s23020970,nan,nan,Sensors,nan,2,nan,nan,nan,{FedSepsis}: {A} {Federated} {Multi}-{Modal} {Deep} {Learning}-{Based} {Internet} of {Medical} {Things} {Application} for {Early} {Detection} of {Sepsis} from {Electronic} {Health} {Records} {Using} {Raspberry} {Pi} and {Jetson} {Nano} {Devices},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146400657&doi=10.3390%2fs23020970&partnerID=40&md5=4859242161abf4048bf79828dea3563d,23,2023.0
albitar_artificial_2022,article,"Albitar, L. and Zhao, T. and Huang, C. and Mahdian, M.",0,1,nan,nan,10.3390/diagnostics12123214,nan,nan,Diagnostics,nan,12,nan,nan,nan,Artificial {Intelligence} ({AI}) for {Detection} and {Localization} of {Unobturated} {Second} {Mesial} {Buccal} ({MB2}) {Canals} in {Cone}-{Beam} {Computed} {Tomography} ({CBCT}),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144898260&doi=10.3390%2fdiagnostics12123214&partnerID=40&md5=708cae17643420b773c823bd719870bd,12,2022.0
alghanmi_interpreting_2022,inproceedings,"Alghanmi, I. and Espinosa-Anke, L. and Schockaert, S.",0,1,nan,nan,10.1145/3477495.3532003,nan,nan,nan,nan,nan,460--470,nan,nan,Interpreting {Patient} {Descriptions} using {Distantly} {Supervised} {Similar} {Case} {Retrieval},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135074329&doi=10.1145%2f3477495.3532003&partnerID=40&md5=e3ee5e416339a43e284235b58e38d9bc,nan,2022.0
ali_enhancing_2021,article,"Ali, N. and Abuel-Atta, A.H. and Zayed, H.H.",0,1,nan,nan,10.11591/ijai.v10.i2.pp316-323,nan,nan,IAES International Journal of Artificial Intelligence,nan,2,316--323,nan,nan,Enhancing the performance of cancer text classification model based on cancer hallmarks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104656151&doi=10.11591%2fijai.v10.i2.pp316-323&partnerID=40&md5=98e2499b11ca41031ab52db1d6f85ccb,10,2021.0
